健康診断,Medical Checkup / Physical Examination
体質,Constitution
アレルギー,Allergy
病歴,Clinical / Medical History
検査,Examination / Test
診断,Diagnosis
治療,Treatment
X線,X-ray
症状,Symptom
急性の,Acute
慢性の,Chronic
悪性の,Malignant
感染性の,Infectious
ウイルス,Virus
感染性ウイルス,Infectious Virus
腫瘍,Tumor
免疫,Immunity
予防接種,Immunization / Vaccination
注射,Injection / Shot
ワクチン,Vaccine
処方箋,Prescription
服用量,Dosage / Dose
副作用,Reaction / Side Effect
抗生物質,Antibiotics
浣腸,Enema
手術,Operation / Surgery
輸血,Blood Transfusion
麻痺,Paralysis / Palsy
全身麻酔,General Anesthesia
局部麻酔,Local Anesthesia
体温計,Thermometer
包帯,Bandage
ばんそうこう,Adhesive Tape / Bandage
栄養,Nutrition
微熱,Slight Fever
平熱,Normal Temperature
発汗,Diaphoresis / Sweat
寝汗,Night Sweats
頭痛,Headache
腹痛,Stomachache
背痛,Back Pain
腰痛,Lumbago / Lower Back Pain
鈍痛,Dull Ache / Dull Pain
軽い痛み,Mild Pain / Slight Pain
ズキズキする痛み,Throbbing Pain
激痛,Acute Pain
しつこい痛み,Persistent Pain
チクチクする痛み,Pricking Pain
焼けるような痛み,Burning Pain
うみ,Pus
炎症,Inflammation
化膿する,Suppurate
腫れている,Swollen
出血,Bleed
貧血,Anemia
けいれん,Convulsion
しびれる,Numb
むくみ,Swelling
肩こり,Stiff Shoulders
脱水症状,Dehydration
だるい,Listless / Dull
寒気,Chill
くしゃみ,Sneeze
かぜ,Cold
インフルエンザ,Influenza / Flu
気管支炎,Bronchitis
ぜんそく,Asthma
ぜいぜいする,Wheeze
痰（たん）,Sputum / Phlegm
喀血（血痰）,Hemoptysis
気管,Windpipe / Trachea
肺,Lung(s)
肺炎,Pneumonia
肺結核,Pulmonary Tuberculosis
呼吸,Breathing / Respiration
呼吸（吸う）,Inhale
呼吸（吐く）,Exhale
いびき,Snore
睡眠時無呼吸症候群,Sleep Apnea Syndrome (SAS)
せき,Cough
狭心症,Angina Pectoris
心臓発作,Heart Attack
動脈硬化,Arteriosclerosis
血圧,Blood Pressure
高血圧,High Blood Pressure / Hypertension
低血圧,Low Blood Pressure / Hypotension
動悸,Palpitation
不整脈,Irregular Pulse / Irregular Heartbeat
静脈,Vein
動脈,Artery
リンパ腺,Lymph Gland
脈拍,Pulse / Pulsation
心臓,Heart
胃潰瘍,Gastric Ulcer
胃酸過多症,Gastric Hyperacidity
胃下垂,Gastroptosis
食欲不振,Anorexia / Lack of Appetite
消化,Digestion
消化不良,Indigestion
食中毒,Food Poisoning
下痢,Diarrhea
便秘,Constipation
痔,Hemorrhoids
肝炎,Hepatitis
肝硬変,Liver Cirrhosis
盲腸炎,Appendicitis
糖尿病,Diabetes
膨満感,Feeling of Fullness
げっぷ,Burp
しゃっくり,Singultation / Hiccup
胸やけ,Heartburn
吐き気,Nausea
吐く,Vomit / Throw up
吐血,Hematemesis / Vomiting Blood
放屁,Pass Gas
便,Feces / Stool
食道,Esophagus
胃,Stomach
大腸,Large bowel (Intestine)
小腸,Small bowel (Intestine)
肛門,Anus
肝臓,Liver
膵臓,Pancreas
脳卒中,Cerebral Apoplexy / Stroke
脳梗塞,Cerebral Infarction
脳腫瘍,Brain Tumor
偏頭痛,Migraine
てんかん,Epilepsy
失神,Faint
意識もうろう,Stupor / Trance
立ちくらみ,Lightheadedness
めまい,Dizziness
つる,Cramp
脳,Brain
神経,Nerve
脊髄,Spinal Cord
腎炎,Nephritis
腎臓尿路結石,Kidney Stone
膀胱炎,Cystitis
尿道炎,Urethritis
尿,Urine
血尿,Bloody Urine / Hematuria
糖尿,Glycosuria
蛋白尿,Proteinuria / Albuminuria
腎臓,Kidney
膀胱,Bladder
尿道,Urethra
睾丸,Testicles
前立腺,Prostate Gland
外傷,Wound
やけど,Burn
脱臼,Dislocation
打撲,Contusion / Bruise
突き指,Sprained Finger
むちうち症,Whiplash
筋肉痛,Muscle Ache
肉離れ,Muscle Strain
関節炎,Arthritis
腱鞘炎,Tendonitis
椎間板ヘルニア,Disk Hernia
ぎっくり腰,Strained Back
骨粗しょう症,Osteoporosis
内出血,Internal Bleeding
摘出,Removal / Enucleation
移植,Transplantation / Implant
軟骨,Cartilage
あせも,Heat Rash
オムツかぶれ,Diaper Rash
シラミ,Lice
おたふくかぜ,Mumps
はしか,Measles
ひきつけ,Convulsion
水ぼうそう,Chicken Pox
小児麻痺,Polio
脳性麻痺,Cerebral Palsy
おりもの,Vaginal Discharge
生理,Period / Menstruation
生理痛,Cramps / Period Pains
